Total	Name
1690	H3K27AC.bed|H3K27ME3.bed
758	H3K27AC.bed|H3K27ME3.bed|gencode.bed
147	H3K27AC.bed|H3K27ME3.bed|H3K9AC.bed
87	H3K27AC.bed|H3K27ME3.bed|H3K9AC.bed|gencode.bed
1420	H3K27AC.bed|H3K27ME3.bed|H3K4ME3.bed
1797	H3K27AC.bed|H3K27ME3.bed|H3K4ME3.bed|gencode.bed
1187	H3K27AC.bed|H3K27ME3.bed|H3K4ME3.bed|H3K9AC.bed
6735	H3K27AC.bed|H3K27ME3.bed|H3K4ME3.bed|H3K9AC.bed|gencode.bed
20289	H3K27AC.bed
1624	H3K27AC.bed|gencode.bed
1693	H3K27AC.bed|H3K9AC.bed
315	H3K27AC.bed|H3K9AC.bed|gencode.bed
6218	H3K27AC.bed|H3K4ME3.bed
1732	H3K27AC.bed|H3K4ME3.bed|gencode.bed
6156	H3K27AC.bed|H3K4ME3.bed|H3K9AC.bed
6217	H3K27AC.bed|H3K4ME3.bed|H3K9AC.bed|gencode.bed
36474	H3K27ME3.bed
3078	H3K27ME3.bed|gencode.bed
12	H3K27ME3.bed|H3K9AC.bed
1	H3K27ME3.bed|H3K9AC.bed|gencode.bed
2156	H3K27ME3.bed|H3K4ME3.bed
1747	H3K27ME3.bed|H3K4ME3.bed|gencode.bed
14	H3K27ME3.bed|H3K4ME3.bed|H3K9AC.bed
27	H3K27ME3.bed|H3K4ME3.bed|H3K9AC.bed|gencode.bed
7057	gencode.bed
96	H3K9AC.bed
9	H3K9AC.bed|gencode.bed
11364	H3K4ME3.bed
843	H3K4ME3.bed|gencode.bed
43	H3K4ME3.bed|H3K9AC.bed
10	H3K4ME3.bed|H3K9AC.bed|gencode.bed
