num_samples	num_threads	time_per_sample	sd	n
4	8	209350	34789.8153200042	5
8	8	274950	60058.6041920723	5
16	12	305087.3375	185185.504193534	5
4	12	306150	70201.1841068226	5
2	8	317100	77835.0820645806	5
2	12	319000	57070.1322935211	5
4	24	340750	106080.747546386	5
4	4	345400	69205.2201788276	5
8	12	356343.75	90852.6379524374	5
32	8	364968.75	75563.0428020206	5
2	4	398500	105884.961160686	5
16	8	399462.5	123059.465427288	5
4	32	432250	65587.4098690696	5
8	4	433900	36068.0130101452	5
48	8	440758.333333333	98951.0935948214	5
32	12	442593.75	160498.322189926	5
16	4	461137.5	48439.1814224291	5
48	12	463462.5	108177.827493027	5
8	32	463906.25	131110.853820663	5
2	32	466700	101752.518396352	5
32	4	496250	42537.2079772521	5
16	32	526025	115048.678556079	5
2	24	549400	67384.5308657707	5
8	24	570250	98863.5818312284	5
4	2	580850	157061.552424519	5
32	32	589328.125	195450.475431384	5
16	24	597387.5	129327.205845773	5
32	24	630507.8125	94025.0665235905	5
48	4	639020.833333333	62215.5634147801	5
1	8	663400	184371.364370935	5
1	4	666200	101939.688051318	5
8	2	684027.775	63300.3079776522	5
48	24	686036.458333333	189226.456207575	5
48	32	721145.833333333	99911.4212725174	5
1	24	752200	268012.499708502	5
1	12	755600	145407.35882341	5
2	2	757200	117020.617841473	5
4	1	819800	156829.166611316	5
16	2	886875	240762.59864491	5
32	2	905337.5	156331.797964098	5
48	2	905744.791666667	103654.688168651	5
1	32	990000	219984.090333824	5
2	1	1080200	276492.676214036	5
8	1	1083850	131211.28595704	5
32	1	1199504.64375	226380.172103674	5
1	2	1271600	53285.0823401822	5
16	1	1324975	242078.461744586	5
48	1	1626838.54166667	272698.017998929	5
1	1	2100400	408769.250311224	5
