SampleName,Total.reads,Aligned.reads,De-duplicated.alignments,Percent.Aligned.Reads,Percent.De-dup.Reads,Unaligned.Reads,Pcnt.Unaligned.Reads,Duplicated,Percent.Dup
Sample_1,25893521,22152784,17048927,85.55,65.84,3740737,14.45,5103857,19.71
Sample_2,10699242,8006351,7555702,74.83,70.62,2692891,25.17,450649,4.212
Sample_3,30509411,25674371,24009947,84.15,78.7,4835040,15.85,1664424,5.455
Sample_4,27092218,23322823,15988376,86.09,59.01,3769395,13.91,7334447,27.07
Sample_5,2477907,1501092,1442215,60.58,58.2,976815,39.42,58877,2.376
Sample_6,3306141,2097343,1996853,63.44,60.4,1208798,36.56,100490,3.039
Sample_7,11899116,9577281,7112845,80.49,59.78,2321835,19.51,2464436,20.71
Sample_8,6589918,4712833,4506380,71.52,68.38,1877085,28.48,206453,3.133
Sample_9,15802492,12241973,11561527,77.47,73.16,3560519,22.53,680446,4.306
Sample_10,5371957,3595073,3395776,66.92,63.21,1776884,33.08,199297,3.71
Sample_11,33238379,26250206,23948186,78.98,72.05,6988173,21.02,2302020,6.926
Sample_12,22796534,18194678,17168530,79.81,75.31,4601856,20.19,1026148,4.501
Sample_13,38340592,31914909,30076282,83.24,78.45,6425683,16.76,1838627,4.796
Sample_14,4522287,3376611,3231938,74.67,71.47,1145676,25.33,144673,3.199
Sample_15,13165955,10382118,9713272,78.86,73.78,2783837,21.14,668846,5.08
Sample_16,32334229,25100593,23078524,77.63,71.37,7233636,22.37,2022069,6.254
Sample_17,37810656,32446551,30716812,85.81,81.24,5364105,14.19,1729739,4.575
Sample_18,19301066,16418325,14940993,85.06,77.41,2882741,14.94,1477332,7.654
Sample_19,33574246,29006184,27268325,86.39,81.22,4568062,13.61,1737859,5.176
Sample_20,24315829,20278814,19391965,83.4,79.75,4037015,16.6,886849,3.647
Sample_21,9210771,6727114,6476126,73.04,70.31,2483657,26.96,250988,2.725
Sample_22,37254737,31433571,30007441,84.37,80.55,5821166,15.63,1426130,3.828
Sample_23,31986578,26889762,25231448,84.07,78.88,5096816,15.93,1658314,5.184
Sample_24,15035562,10404989,10054971,69.2,66.87,4630573,30.8,350018,2.328
Sample_25,35443332,30242424,28843719,85.33,81.38,5200908,14.67,1398705,3.946
Sample_26,32558193,27460359,25721469,84.34,79,5097834,15.66,1738890,5.341
Sample_27,32026812,26921594,25546746,84.06,79.77,5105218,15.94,1374848,4.293
Sample_28,30327433,24869830,23378295,82,77.09,5457603,18,1491535,4.918
Sample_29,35893505,29877761,28404351,83.24,79.14,6015744,16.76,1473410,4.105
Sample_30,52213715,43012018,41018867,82.38,78.56,9201697,17.62,1993151,3.817
Sample_31,29799692,24679347,23324635,82.82,78.27,5120345,17.18,1354712,4.546
Sample_32,30117019,25097982,23967029,83.33,79.58,5019037,16.67,1130953,3.755
Sample_33,55068537,45130312,43002342,81.95,78.09,9938225,18.05,2127970,3.864
Sample_34,28857070,23919677,22568866,82.89,78.21,4937393,17.11,1350811,4.681
Sample_35,35184104,29424302,28026038,83.63,79.66,5759802,16.37,1398264,3.974
Sample_36,52329724,43504206,41466770,83.13,79.24,8825518,16.87,2037436,3.893
Sample_37,28477296,23483435,22276892,82.46,78.23,4993861,17.54,1206543,4.237
Sample_38,32660681,26978059,25757927,82.6,78.87,5682622,17.4,1220132,3.736
Sample_39,54654445,45470228,43293015,83.2,79.21,9184217,16.8,2177213,3.984
Sample_40,33735926,28672392,27292851,84.99,80.9,5063534,15.01,1379541,4.089
Sample_41,35366885,30081517,28785122,85.06,81.39,5285368,14.94,1296395,3.666
Sample_42,37755372,32606974,31059897,86.36,82.27,5148398,13.64,1547077,4.098
Sample_43,43870943,36990036,34585424,84.32,78.83,6880907,15.68,2404612,5.481
Sample_44,34124425,28691994,27462878,84.08,80.48,5432431,15.92,1229116,3.602
Sample_45,39922571,34231380,32643585,85.74,81.77,5691191,14.26,1587795,3.977
Sample_46,29118842,25014533,23988872,85.9,82.38,4104309,14.1,1025661,3.522
Sample_47,25900757,21775718,20620638,84.07,79.61,4125039,15.93,1155080,4.46
Sample_48,33415036,28056381,26797864,83.96,80.2,5358655,16.04,1258517,3.766
Sample_49,25815792,21665482,20621806,83.92,79.88,4150310,16.08,1043676,4.043
Sample_50,17501896,14391211,13728842,82.23,78.44,3110685,17.77,662369,3.785

