Peaks	Sample
13818	Sample_1
4333	Sample_2
2613	Sample_3
14309	Sample_4
2081	Sample_5
1808	Sample_6
20130	Sample_7
9108	Sample_8
41027	Sample_9
3247	Sample_10
265	Sample_11
8270	Sample_12
46	Sample_13
29	Sample_14
479	Sample_15
83463	Sample_16
13667	Sample_17
60177	Sample_18
38963	Sample_19
7589	Sample_20
24184	Sample_21
121	Sample_22
17351	Sample_23
10495	Sample_24
16132	Sample_25
16136	Sample_26
110	Sample_27
24163	Sample_28
52581	Sample_29
132	Sample_30
18798	Sample_31
59672	Sample_32
144	Sample_33
20319	Sample_34
45915	Sample_35
135	Sample_36
20809	Sample_37
40863	Sample_38
123	Sample_39
12198	Sample_40
18914	Sample_41
39	Sample_42
16450	Sample_43
12415	Sample_44
14354	Sample_45
2485	Sample_46
17024	Sample_47
105	Sample_48
5913	Sample_49
56646	Sample_50

