SampleID	Peaks	De.duplicated.alignments
Sample_1	13818	17048927
Sample_10	3247	3395776
Sample_11	265	23948186
Sample_12	8270	17168530
Sample_13	46	30076282
Sample_14	29	3231938
Sample_15	479	9713272
Sample_16	83463	23078524
Sample_17	13667	30716812
Sample_18	60177	14940993
Sample_19	38963	27268325
Sample_2	4333	7555702
Sample_20	7589	19391965
Sample_21	24184	6476126
Sample_22	121	30007441
Sample_23	17351	25231448
Sample_24	10495	10054971
Sample_25	16132	28843719
Sample_26	16136	25721469
Sample_27	110	25546746
Sample_28	24163	23378295
Sample_29	52581	28404351
Sample_3	2613	24009947
Sample_30	132	41018867
Sample_31	18798	23324635
Sample_32	59672	23967029
Sample_33	144	43002342
Sample_34	20319	22568866
Sample_35	45915	28026038
Sample_36	135	41466770
Sample_37	20809	22276892
Sample_38	40863	25757927
Sample_39	123	43293015
Sample_4	14309	15988376
Sample_40	12198	27292851
Sample_41	18914	28785122
Sample_42	39	31059897
Sample_43	16450	34585424
Sample_44	12415	27462878
Sample_45	14354	32643585
Sample_46	2485	23988872
Sample_47	17024	20620638
Sample_48	105	26797864
Sample_49	5913	20621806
Sample_5	2081	1442215
Sample_50	56646	13728842
Sample_6	1808	1996853
Sample_7	20130	7112845
Sample_8	9108	4506380
Sample_9	41027	11561527
